cardid	name	type	faction	setcode	setname	no	rules	rarity	def	cost	strikecost	atk	dmgtype	health	all_classes	DeathKnight	Druid	Hunter	Mage	Paladin	Priest	Rogue	Shaman	Warlock	Warrior	instant	race	class	class2	subtype	subtype2	subtype3	subtype4	profession	profession2	block	image	reprinted	classdeck	version	artist	flavour	original	released
11	Aggressive Infiltration	Ability	Neutral	SW	ScourgeWar	77	Your hero deals 3 melee damage to each exhausted opposing hero and ally.	c		4												x								Combo	Combat					5	aggressive_infiltration	Class Starter Deck 2011 (Fall)	CD3	97	Jonboy Meyers		0	1
12	Aimed Shot	Ability	Neutral	HoA	Heroes of Azeroth	32	<b>Marksmanship Hero Required</b>; Your hero deals X ranged damage to target hero or ally.	r		1 + X								x												Marksmanship	Talent					1	aimed_shot	Heroes of Azeroth (EA)		97	Mauro Cascioli	One shot. One kill.	0	1
13	All Aboard for Undercity!	Ability	Horde	SW	ScourgeWar	124	Each player puts a [Horde] ally from his graveyard into his hand.	c		1					All	x	x	x	x	x	x	x	x	x	x	Instant										4	all_aboard_for_undercity			0	Richard Wright		0	1
14	Ambush	Ability	Neutral	TDP	Through the Dark Portal	79	Play only if your hero has <b>Stealth</b>.; Your hero deals X melee damage to target exhausted hero or ally, where X is 5 plus the ATK of one of your Daggers.	r		3												x				Instant				Combo						1	ambush			0	Ralph Horsley		0	1
15	Amplify Magic	Ability	Neutral	FoO	Fires of Outland	37	Attach to target friendly hero or ally. ; <b>Ongoing:</b> If damage would be healed from attached character, that much damage +2 is healed instead.	u		1									x							Instant				Arcane						1	amplify_magic			0	Karl Kopinski	Those who exhibit twice the bravery often need twice the healing.	0	1
16	Ancestral Awakening	Ability	Neutral	WG	Wrathgate	72	<b>Restoration Hero Required</b>; Search your deck for an ally with cost less than or equal to the number of resources you control. Put it into play with damage equal to its [HEALTH] -1.	r		4													x							Restoration						4	ancestral_awakening			0	Brandon Kitkouski		0	1
17	Ancestral Purge	Ability	Neutral	WBR	Worldbreaker	93	Destroy target ability that's not attached to a friendly card. If you do, your hero deals 1 nature damage to each opposing hero and ally.	c		2													x							Elemental						5	ancestral_purge			0	Oliver Chipping	"The spirits warned me of your corruption." - Malaxia Wizwhirl	0	1
18	Ancestral Spirit	Ability	Neutral	TDP	Through the Dark Portal	91	Put target ally card from your graveyard into play if its cost is less than or equal to the number of resources you have. That ally enters play with damage on it equal to its health -1.	c		3													x							Restoration						1	ancestral_spirit			0	Boros-Szikszai	"The ancestors have spoken. It is not yet time for you to join them."	0	1
19	Anesthetic Poison	Ability	Neutral	FoO	Fires of Outland	64	Attach to target hero or ally that was dealt combat damage by your hero this turn.;<b>Ongoing:</b> When attached character becomes exhausted, its controller discards a card.	c		1												x				Instant				Poison						1	anesthetic_poison			0	Ben Thompson	"Poison the body, and you'll numb the mind." - The Assassin's Creed, Chapter 6	0	1
20	Anger Management	Ability	Neutral	TDP	Through the Dark Portal	115	<b>Arms Hero Required</b>; <b>Ongoing:</b> When your hero deals combat damage with a weapon to a hero, put the top card of your deck into your resource row face down and exhausted.	r		3															x					Arms	Talent					1	anger_management			0	Jun Kang	For a warrior, violence is always the answer.	0	1
21	Annihilate	Ability	Neutral	WG	Wrathgate	65	Destroy target exhausted ally or equipment.	c		3												x								Combo	Combat					5	annihilate	Class Starter Deck 2011 (Fall)	CD3	97	Francis Tsai		0	1
22	Anti-Magic Shell	Ability	Neutral	WG	Wrathgate	22	<b>Ongoing:</b> [Exhaust] -> Prevent the next non-melee damage that would be dealt to your hero this turn.	u		2						x														Unholy						4	anti_magic_shell			0	Phroilan Gardner		0	1
23	Aquatic Form	Ability	Neutral	DoW	Drums Of War	19	You may complete quest cards from your graveyard. As you do, remove them from the game as an additional cost.	r		1							x									Instant				Form (1)	Feral					3	aquatic_form			0	Daren Bader	"Both agility and endurance are necessary to act in harmony with what you desire to do under water." - Dendrite Starblaze	0	1
24	Arc of Flame	Ability	Neutral	TDP	Through the Dark Portal	45	Choose one: Your hero deals 4 fire damage to target ally; or your hero deals 2 fire damage to each of two target allies.	c		5									x											Fire						1	arc_of_flame			0	Chris Arneson	Fire consumes whatever fuel it is given.	0	1
25	Arcane Binding	Ability	Neutral	ICE	Icecrown	39	Attach to target hero.;<b>Ongoing:</b> As this ability enters play, choose "ability," "ally," or "equipment." Attached hero's controller can't play more than one card of the chosen kind per turn.	r		2									x											Arcane						4	arcane_binding			0	William O&#39;Connor		0	1
26	Arcane Blast	Ability	Neutral	FoO	Fires of Outland	38	You pay 1 less for each other card named Arcane Blast in your graveyard to play Arcane Blast.;Your hero deals 3 Arcane Damage to target Hero or Ally.	c		3									x							Instant				Arcane						1	arcane_blast			0	Chippy	Each blast of arcane power strikes its target more quickly than the last.	0	1
27	Arcane Brilliance	Ability	Neutral	MoL	March of the Legion	43	Each friendly player draws a card.; <b>Ongoing:</b> Each friendly player's maximum hand size is increased by three.	u		4									x							Instant				Arcane						2	arcane_brilliance			0	Steven Belledin		0	1
28	Arcane Burst	Ability	Neutral	SW	ScourgeWar	50	Your hero deals 1 arcane damage to each opposing hero and ally.	c		1									x											Arcane						4	arcane_burst			0	Howard Lyon		0	1
29	Arcane Essence	Ability	Neutral	ICE	Icecrown	40	Exhaust all resources you control. Draw two cards.	u		2									x											Arcane						4	arcane_essence			0	Raymond Swanland		0	1
30	Arcane Explosion	Ability	Neutral	MoL	March of the Legion	44	Your hero deals 1 arcane damage to each opposing hero and ally. Draw a card for each character dealt damage this way.	r		6									x							Instant				Arcane						2	arcane_explosion			0	Aleksi Briclot		0	1
31	Arcane Focus	Ability	Neutral	SoB	Servants of the Betrayer	57	<b>Arcane Hero Required</b>; <b>Ongoing:</b> [Exhaust] -> Ready one of your resources. Use only if you've played another Arcane or [Arcane] card this turn.	r		1									x											Arcane	Talent					2	arcane_focus			0	Graven Tung		0	1
32	Arcane Intellect	Ability	Neutral	HoA	Heroes of Azeroth	47	Attach to target hero, and its controller draws a card.;<b>Ongoing:</b> Attached hero's controller's maximum hand size is increased by three.	u		2									x							Instant				Arcane						1	arcane_intellect			0	Dave Berggren	Knowledge is power.	0	1
33	Arcane Intuition	Ability	Neutral	AGM	Arena Grand Melee	5	<b>Preparation</b> <i>(On your first turn, you may play this card without paying its cost.)</i>;<b>Ongoing:</b> When Arcane Intuition enters play, draw a card. Your maximum hand size is increased by one.	r		2									x											Arena	Arcane					3	arcane_intuition			0	Raymond Swanland		0	1
34	Arcane Missiles	Ability	Neutral	TDP	Through the Dark Portal	43	X can't be more than 5.; Your hero deals X arcane damage to target hero or ally.	c		X									x											Arcane						5	arcane_missiles	War of the Elements,Through the Dark Portal (EA),Class Starter Deck 2010	CD1	97	Brandon Kitkouski	As mage spells go, this one isn't the showiest. Nonetheless, you'll find it quite effective.	0	1
35	Arcane Power	Ability	Neutral	TDP	Through the Dark Portal	44	<b>Arcane Hero Required</b>; <b>Ongoing:</b> When you play an ability, you may pay 1. If you do and your hero would deal damage with that ability this turn, it deals that much damage +1 instead.	r		1									x											Arcane	Talent					1	arcane_power			0	Alex Horley	Arcane energy surged through her as she drew deep from her own power.	0	1
36	Arcane Research	Ability	Neutral	HfI	Hunt For Illidan	45	You pay 1 less to play Arcane Research for each other card named Arcane Research in your graveyard.; Draw two cards.	c		3									x											Arcane						2	arcane_research			0	Michael Komarck	Practice makes perfect.	0	1
37	Arcane Revelation	Ability	Neutral	OLT	Onyxia's Lair Treasure	1	Each friendly player draws a card.	u		3									x							Instant				Arcane						1	arcane_revelation			0	Rebecca Guay	Knowledge shared is power gained.	0	1
38	Arcane Shot	Ability	Neutral	HoA	Heroes of Azeroth	33	Your hero deals 1 arcane damage to target hero or ally.; Draw a card.	c		2								x								Instant				Marksmanship						6	arcane_shot	War of the Elements,Assault on Icecrown Citadel,Class Starter Deck 2011 (Spring),Class Starter Deck 2011 (Fall),Class Starter Deck 2010,Champion Decks	CD1, CD2, CD3	97	John Shroades	A hunter's deadly accuracy doesn't just seem like magic; sometimes, it is.	0	1
39	Arcane Spikes	Ability	Neutral	DoW	Drums Of War	91	Your hero deals X arcane damage to target ally.	c		X								x	x											Marksmanship	Arcane					3	arcane_spikes	Drums Of War (EA)		97	Glenn Rane		0	1
40	Arcane Tactics	Ability	Neutral	SW	ScourgeWar	51	<b>Ongoing:</b> When you draw a card, your hero may deal 1 arcane damage to target ally.	c		4									x											Arcane						4	arcane_tactics			0	Alan Pollack		0	1
41	Arcane Torrent	Ability	Horde	TDP	Through the Dark Portal	133	<b>Blood Elf Hero Required</b>; Interrupt all other ability cards. Opponents can't play abilities this turn.	u		3					All	x	x	x	x	x	x	x	x	x	x	Instant										1	arcane_torrent			0	UDON	Deprived of the Sunwell, the sin'dorei have learned new techniques for manipulating arcane magic.	0	1
42	Arcane Warding	Ability	Neutral	FoH	Fields of Honor	82	Attach to target ally.;<b>Ongoing:</b> Attached ally is <b>Untargetable</b>.	c		2									x	x						Instant				Arcane	Protection					3	arcane_warding			0	Alan Pollack		0	1
43	Arcing Smash	Ability	Neutral	BT	Black Temple	19	<b>Traitor Hero Required</b>; Destroy target opposing equipment and all opposing equipment with the same cost as that equipment.	u		2															x					Traitor						2	arcing_smash			0	Massive Black	"When helms are cracked, skulls aren't far behind." - Codex of Defense	0	1
44	Arctic Blast	Ability	Neutral	ICE	Icecrown	17	Your hero deals two frost damage to each opposing ally. Allies dealt damage this way have -2 ATK this turn.	c		4						x														Frost						4	arctic_blast			0	William O&#39;Connor		0	1
45	Ardent Defender	Ability	Neutral	MoL	March of the Legion	55	<b>Protection Hero Required</b>; <b>Ongoing:</b> Prevent all damage that would be dealt to your hero while it has 25 or more damage.	r		6										x										Protection	Talent					2	ardent_defender			0	Matt Cavotta		0	1
46	Armed to the Teeth	Ability	Neutral	SoB	Servants of the Betrayer	117	Your hero deals melee damage to target ally equal to 3 plus the number of equipment you have.	c		3															x	Instant				Fury						5	armed_to_the_teeth	Class Starter Deck 2011 (Fall),Class Starter Deck 2011 (Spring)	CD2, CD3	97	Massive Black		0	1
47	Army of the Dead	Ability	Neutral	SW	ScourgeWar	22	Destroy all allies. For each ally destroyed this way, you put a 3 [Melee] / 3 [Health] Ghoul ally token into play.	r		6						x														Unholy						4	army_of_the_dead	ScourgeWar (EA)		97	Tom Baxa		0	1
48	Aspect of the Cheetah	Ability	Neutral	MoL	March of the Legion	31	<b>Ongoing:</b> You pay 1 less to complete quests, to a minimum of 1.; When your hero is dealt damage, put Aspect of the Cheetah from play into its owner's hand.	r		1								x												Aspect (1)	Beast Mastery					2	aspect_of_the_cheetah			0	Alex Horley	"It turns three days' travel into two days, provided no one gets in the way." - Chaigon Steelsight	0	1
49	Aspect of the Hawk	Ability	Neutral	HoA	Heroes of Azeroth	34	<b>Ongoing:</b> If your hero would deal ranged damage, it deals that amount of damage plus 1 instead.	r		3								x												Aspect (1)	Beast Mastery					1	aspect_of_the_hawk			0	Phroilan Gardner		0	1
50	Aspect of the Monkey	Ability	Neutral	FoO	Fires of Outland	28	<b>Ongoing:</b> Discard a card -> Opposing allies have -2 ATK while in combat with your hero this turn. Use only once per turn.	u		1								x												Aspect (1)	Beast Mastery					1	aspect_of_the_monkey			0	Chippy	Monkey see, monkey dodge.	0	1
51	Aspect of the Viper	Ability	Neutral	TDP	Through the Dark Portal	31	<b>Ongoing:</b> At the end of your turn, you may ready all of your resources.	r		8								x												Aspect (1)	Beast Mastery					1	aspect_of_the_viper			0	Artgerm	Vipers may appear sluggish, but they can lash out with deadly speed and precision.	0	1
52	Aspect of the Wild	Ability	Neutral	WBR	Worldbreaker	43	<b>Ongoing:</b> [Nature] allies you control have +2 / +2.;2 -> Target ally you control has <b>Nature Resistance</b> this turn.	r		3								x												Aspect (1)	Beast Mastery					5	aspect_of_the_wild			0	Jonboy Meyers	"Every soul has a wild aspect; you must find yours and embrace it." - The Greatest Race of Hunters	0	1
53	Astral Denial	Ability	Neutral	SW	ScourgeWar	52	Interrupt target quest reward effect. ;<b>Ongoing:</b> When an opponent completes a quest, destroy this ability. If you do, interrupt that quest's reward effect.	u		3									x							Instant				Arcane						4	astral_denial			0	Massive Black		0	1
54	Astral Grief	Ability	Neutral	HfI	Hunt For Illidan	46	Interrupt target quest reward effect.	c		1									x							Instant				Arcane						2	astral_grief			0	Brandon Kitkouski	"I hate that you did all that work for nothing."	0	1
55	Astral Recall	Ability	Neutral	WG	Wrathgate	73	Remove this ability from the game. Put up to one target ability, up to one target ally, and up to one target equipment from your graveyard into your hand.	r		4													x							Enchantment						4	astral_recall			0	Tom Ho		0	1
56	Atonement	Ability	Neutral	BoG	Blood Of Gladiators	40	Prevent all damage that target hero or ally would deal this turn.	c		2										x						Instant				Protection						3	atonement			0	Massive Black		0	1
57	Aura of Accuracy	Ability	Neutral	DoW	Drums Of War	43	You pay 1 less to play cards and effects with one or more targets, to a minimum of 1.	r		3										x										Aura (1)	Holy					3	aura_of_accuracy			0	Eric Browning	"Let the Light guide your hand and you shall strike true."	0	1
58	Aura of Anger	Ability	Neutral	BT	Black Temple	14	<b>Traitor Hero Required</b>; <b>Ongoing:</b> Heroes and allies in your party have +1 ATK while attacking damaged heroes and allies.	u		1										x										Aura (1)	Traitor					2	aura_of_anger			0	Massive Black	"My soul longs for vengeance" - Illidan Stormrage	0	1
59	Aura of Fanaticism	Ability	Neutral	SoB	Servants of the Betrayer	67	<b>Traitor Hero Required</b>; <b>Ongoing:</b> Your hero has +1 ATK for each ally in your party.; Allies in your party have -1 health.	u		2										x										Aura (1)	Traitor					2	aura_of_fanaticism			0	Clint Langley	"Know that your sacrifice will bring me great glory this day." - Crusader Goodchilde	0	1
60	Avatar of the Wild	Ability	Neutral	WBR	Worldbreaker	123	Put an X [Melee] / X [Health] Tiger ally token into play with <b>Ferocity</b>.	e		X							x	x												Feral	Beast Mastery					5	avatar_of_the_wild			0	Alex Horley	"Rise, great hunter, and feast!" - Amaria Kelsur	0	1
61	Avenger's Shield	Ability	Neutral	FoO	Fires of Outland	46	<b>Protection Hero Required</b>;Exhaust up to three target heroes and/or allies, and each of them can't ready during its controller's next step. Your hero deals 1 holy damage to each of those characters.	r		4										x										Protection	Talent					1	avengers_shield	Fires of Outland (EA)		97	Jaysin	Those who oppose the shield must yield.	0	1
62	Avenging Wrath	Ability	Neutral	SoB	Servants of the Betrayer	68	Double your hero's ATK this turn.	u		4										x						Instant				Retribution						2	avenging_wrath			0	Josh Tallman	Evil shows no mercy, nor is it shown any by the Light.	0	1
63	Backlash	Ability	Neutral	FoH	Fields of Honor	68	<b>Destruction Hero Required</b>; <b>Ongoing:</b> [Exhaust] -> If an opposing hero or ally dealt damage to your hero this turn, draw a card.	r		2														x		Instant				Destruction	Talent					3	backlash			0	Scott Altmann		0	1
64	Backstab	Ability	Neutral	HoA	Heroes of Azeroth	91	Your hero deals X melee damage to target exhausted hero or ally, where X is 3 plus the ATK of one of your Daggers.	r		3												x				Instant				Combo	Combat					4	backstab	Class Starter Deck 2010,Heroes of Azeroth (EA)	CD1	97	Mike Sutfin	In the war between the Horde and the Alliance, grudges are taken to the hilt.	0	1
65	Bait the Trap	Ability	Neutral	HfI	Hunt For Illidan	35	<b>Ongoing:</b> <b>Trap</b> cards in your hand also have "You may exhaust a defending ally in your party rather than pay this card's cost."	u		2								x								Instant				Survival						2	bait_the_trap			0	Clint Langley	"Come and get some!"	0	1
66	Banish	Ability	Neutral	MoL	March of the Legion	103	Remove target Demon ally or Elemental ally from the game.	u		1														x						Demonology						2	banish			0	Chris Legaspi	When you draw power from demons, it's a good idea to have a backup plan in case they disagree.	0	1
67	Banish to the Nether	Ability	Neutral	SoB	Servants of the Betrayer	108	Remove target ability, ally, or equipment from game.; <b>Ongoing:</b> When Banish to the Nether leaves play, the owner of that removed card puts that card into play.	c		3														x						Destruction						2	banish_to_the_nether	Servants of the Betrayer (EA),Archive		97	Brandon Kitkouski	Those who enter the Nether rarely return.	0	1
68	Barkskin	Ability	Neutral	MoL	March of the Legion	19	<b>Ongoing:</b> Your ability, ally, and equipment cards can't be interrupted.	r		1							x									Instant				Balance						2	barkskin	Archive		97	Mark Gibbons		0	1
69	Bash	Ability	Neutral	HoA	Heroes of Azeroth	17	Exhaust target hero or ally.; <b>Ongoing:</b> Your hero is in bear form. <i>(Has <b>Protector</b>. Destroy this card when you strike with a weapon or play a non-Feral ability.)</i>	u		2							x									Instant				Form (1)	Feral					1	bash			0	Mauro Cascioli		0	1
70	Battle Preparations	Ability	Neutral	FoO	Fires of Outland	100	Allies can't attack until after your next turn.	u		4					All	x	x	x	x	x	x	x	x	x	x											1	battle_preparations			0	Mauro Cascioli		0	1
71	Battle Shout	Ability	Neutral	HoA	Heroes of Azeroth	135	<b>Ongoing:</b> Allies in your party have +1 ATK.	c		3															x	Instant				Fury	Shout					5	battle_shout	Class Starter Deck 2010,Class Starter Deck 2011 (Spring),Class Starter Deck 2011 (Fall)	CD1, CD2, CD3	97	Mauro Cascioli	"For Lordaeron!" "For Khaz Modan!" "For the Horde!" Azeroth has heard them all.	0	1
72	Battle Tactics	Ability	Neutral	DoW	Drums Of War	84	<b>Ongoing:</b> Opposing heroes and allies must attack each turn if able. ;When an opponent proposes a combat, you may change the proposed defender. <i>(It must be a legal choice for the attacker.)</i>	r		7															x					Protection						3	battle_tactics			0	Zoltan Boros and Gabor Szikszai		0	1
73	Bear Form	Ability	Neutral	HoA	Heroes of Azeroth	18	<b>Ongoing:</b> Your hero is in bear form. <i>(Has <b>Protector</b>. Destroy this card when you strike with a weapon or play a non-Feral ability.)</i>; When Bear Form is destroyed, you may pay 2. If you do, put it into your hand at end of turn.	u		1							x									Instant				Form (1)	Feral					1	bear_form			0	James Brady		0	1
74	Behead	Ability	Neutral	DoW	Drums Of War	85	If target ally is damaged, destroy it. Otherwise, your hero deals 1 melee damage to it.	c		2															x	Instant				Fury						3	behead			0	Jim Pavelec	"Fight at your best, or die like the rest!" - Lord Benjamin Tremendouson	0	1
75	Belligerence	Ability	Neutral	SW	ScourgeWar	78	<b>Ongoing:</b> You pay 2 less to strike with Melee weapons on your turn.;<b>Death Rattle</b> <i>(When this ability enters your graveyard from anywhere.)</i>: Reveal the top three cards of your deck. Put a revealed Melee weapon into your hand and the rest on the bottom of your deck.	u		2												x								Combat						4	belligerence			0	Christopher Moeller		0	1
76	Berserk	Ability	Neutral	SW	ScourgeWar	32	<b>Feral Hero Required</b>;<b>Ongoing:</b> While your hero has <b>Bear Form</b>, when it's dealt combat damage, you may draw a card.;While your hero has <b>Cat Form</b>, when it deals combat damage to a hero, its controller discards a card.	r		2							x									Instant				Feral	Talent					4	berserk			0	Eric Ryan	"I'm pretty sure we should run now..." - Grumpherys	0	1
77	Berserker Rage	Ability	Neutral	FoO	Fires of Outland	91	You may destroy any number of abilities attached to your hero.;<b>Ongoing:</b> Your hero has +1 ATK while attacking for each 5 damage on it.	r		4															x					Fury						1	berserker_rage			0	Boros-Szikszai	Nothing incites the killing urge like the taste of one's own blood.	0	1
78	Berserker Stance	Ability	Neutral	HoA	Heroes of Azeroth	136	<b>Ongoing:</b> If your hero would deal damage, it deals that amount of damage plus 1 instead.; If your hero would be dealt damage, it is dealt that amount of damage plus 1 instead.	r		3															x					Stance (1)	Fury					1	berserker_stance			0	James Zhang		0	1
79	Berserking	Ability	Horde	TDP	Through the Dark Portal	134	<b>Troll Hero Required</b>; <b>Ongoing:</b> When your hero is dealt damage, put a berserk counter on Berserking.; When your hero attacks, remove all berserk counters from Berserking. Your hero has +1 ATK this combat for each counter you removed.	r		3					All	x	x	x	x	x	x	x	x	x	x											1	berserking			0	Chippy		0	1
80	Bestial Rage	Ability	Neutral	WG	Wrathgate	93	<b>Ongoing:</b> Your hero has <b>Assault 1</b> for each Hunter and Warrior you control.	u		3								x							x					Beast Mastery	Fury					4	bestial_rage			0	Jonboy Meyers		0	1
81	Bestial Resurgence	Ability	Neutral	ICE	Icecrown	32	Put up to three Pets with different names from your graveyard into your hand.	u		4								x												Beast Mastery						4	bestial_resurgence			0	Mauro Cascioli		0	1
82	Bestial Swiftness	Ability	Neutral	MoL	March of the Legion	32	<b>Beast Mastery Hero Required</b>; <b>Ongoing:</b> [Exhaust] -> Target Pet has <b>Ferocity</b> this turn.	r		2								x												Beast Mastery	Talent					2	bestial_swiftness			0	Lars Grant-West		0	1
83	Bestial Wrath	Ability	Neutral	HoA	Heroes of Azeroth	35	<b>Beast Mastery Hero Required</b>; Target Pet has +3 ATK this turn. Prevent all damage that would be dealt to it this turn.	r		1								x								Instant				Beast Mastery						1	bestial_wrath			0	John Dickerson		0	1
84	Binding Heal	Ability	Neutral	FoO	Fires of Outland	55	Your hero heals 5 damage from itself and 5 damage from another target hero or ally.	c		2											x					Instant				Holy						4	binding_heal	Class Starter Deck 2010	CD1	97	Ron Spears		0	1
85	Black Blood	Ability	Neutral	WBR	Worldbreaker	23	Your hero deals 5 shadow damage to target ally. If you control a Disease, your hero also deals 5 shadow damage to target hero.	c		5						x														Unholy						5	black_blood	Class Starter Deck 2011 (Fall)	CD3	97	Dave Allsop		0	1
86	Blade Flurry	Ability	Neutral	TDP	Through the Dark Portal	80	<b>Combat Hero Required</b>; <b>Ongoing:</b> When your hero deals combat damage with a weapon to an ally, you may have your hero deal that much melee damage to another target hero or ally.	r		4												x								Combat	Talent					1	blade_flurry			0	Jim Murray		0	1
87	Blade Twisting	Ability	Neutral	SoB	Servants of the Betrayer	87	<b>Combat Hero Required</b>; <b>Ongoing:</b> When your hero deals combat damage to an ally, destroy it, and it's controller discards a card.	r		3												x								Combat	Talent					2	blade_twisting			0	Steve Ellis		0	1
88	Blast Trap	Ability	Neutral	WBR	Worldbreaker	44	<b>Trap</b> <i>(You may exhaust your defending hero rather than pay this card's cost.)</i> Destroy target attacking ally with cost 4 or more.	u		2								x								Instant				Survival						5	blast_trap			0	Zoltan Boros and Gabor Szikszai		0	1
89	Blast Wave	Ability	Neutral	HfI	Hunt For Illidan	47	<b>Fire Hero Required</b>; Your hero deals 2 fire damage to each opposing hero and ally. A character dealt damage this way can't protect this turn.	r		2									x											Fire	Talent					2	blast_wave	Hunt For Illidan (EA)		97	Zoltan Boros and Gabor Szikszai	"Time to turn up the heat!"	0	1
90	Blastenheimer 5000 Ultra Cannon	Ability	Neutral	DMF	Darkmoon Faire	1	<b>Ongoing:</b> 3, [Exhaust] -> You may put an ally card from your hand into play. If you do, destroy it at the start of the next turn.	r		7					All	x	x	x	x	x	x	x	x	x	x											2	blastenheimer_5000_ultra_cannon			0	Alex Horley		0	1
91	Blaze	Ability	Neutral	SoB	Servants of the Betrayer	58	Your hero deals 1 fire damage to target ally for each card in your hand.	c		2									x											Fire						2	blaze			0	Brandon Kitkouski	"You can crunch numbers and probabilities all you want; what it all boils down to is fire, baby - FIRE!" - Blaize Brightspark	0	1
92	Bleed	Ability	Neutral	FoH	Fields of Honor	75	Attach to target hero or ally.;<b>Ongoing:</b> At the start of your turn, destroy Bleed if attached character is undamaged. Otherwise, your hero deals 2 melee damage to it.	c		3															x					Arms						3	bleed			0	Massive Black		0	1
93	Blessed Defense	Ability	Neutral	FoH	Fields of Honor	40	Target ally is a <b>Protector</b> this turn. Prevent all damage that it would be dealt while defending this turn.	c		1										x						Instant				Protection						4	blessed_defense	Assault on Icecrown Citadel		97	Chris Dien		0	1
94	Blessed Life	Ability	Neutral	SoB	Servants of the Betrayer	69	<b>Holy Hero Required;Ongoing:</b> If your hero would be dealt damage, you can put Blessed life into to your hand. If you do, prevent that damage.	r		2										x										Holy	Talent					2	blessed_life			0	Massive Black		0	1
95	Blessed Protector	Ability	Neutral	MoL	March of the Legion	56	Your hero has <b>Protector</b> this turn.; Draw a card.	c		1										x						Instant				Protection						2	blessed_protector			0	Clint Langley		0	1
96	Blessing of Cenarius	Ability	Neutral	SW	ScourgeWar	33	Attach to target ally.;<b>Ongoing:</b> Attached ally has +1 / +1. ; When attached ally is destroyed, you may draw a card.	c		1							x									Instant				Restoration						4	blessing_of_cenarius			0	Massive Black		0	1
97	Blessing of Defense	Ability	Neutral	WBR	Worldbreaker	63	Attach to target ally.;<b>Ongoing:</b> Attached ally has +5 ATK while defending.	c		1										x						Instant				Blessing	Protection					5	blessing_of_defense	Assault on Icecrown Citadel		97	Raymond Swanland	"Those who take up arms against me will find that my faith provides more then just a shield." - Jaenel	0	1
98	Blessing of Divinity	Ability	Neutral	FoO	Fires of Outland	47	Attach to target ally. ; <b>Ongoing:</b> Attached ally has +1 ATK and +1 health. ; When attached ally becomes exhausted, your hero heals 1 damage from it.	c		1										x						Instant				Protection	Blessing					1	blessing_of_divinity			0	Brandon Kitkouski	"Go forward with the strength of heroes, and let foulness break itself upon the power of your mandate."	0	1
